"","SPECIES_CD","SCIENTIFIC_NAME","COMMON_NAME","HAWAIIAN_LOCAL_NAME","FAMILY_NAME","COMMON_FAMILY","SPECIES_TYPE_CD","SPECIES_TYPE_CD2","SPECIES_TYPE_NAME","MIN_FL_CM","MAX_FL_CM","A","B","GCF","CM_1LB","NOTES","SEQUENCE_NR","CREATE_DTM","CREATED_BY","LAST_MOD_DTM","LAST_MOD_BY"
"13","RAZO","Xyrichtyinae sp.","Razorfish","Nebeta","Xyrichtyinae","Razorfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000152",NA,NA,NA,NA
"14","ROEX","Roa excelsa","Hawaiian gold-barred butterflyfish",NA,"Chaetodontidae","Butterflyfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000153",NA,NA,NA,NA
"15","SARD","Sarda sp.","Bonito","dogtooth/kitsune","Scombridae","Tunas","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000154",NA,NA,NA,NA
"16","SARD","Sarda sp.","Bonito","Kitsune","Scombridae","Tunas","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000155",NA,NA,NA,NA
"17","SARD","Sarda sp.","Bonito","Dogtooth tuna","Scombridae","Tunas","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000156",NA,NA,NA,NA
"18","SEDU","Seriola dumerili","Greater amberjack","Kahala","Carangidae","Jacks","OTB","OTB","Other Bottomfish",NA,NA,NA,NA,NA,NA,NA,"00000157",NA,NA,NA,NA
"19","SEDU","Seriola dumerili","Greater amberjack","amberjack","Carangidae","Jacks","OTB","OTB","Other Bottomfish",NA,NA,NA,NA,NA,NA,NA,"00000158",NA,NA,NA,NA
"20","SERI","Seriola rivoliana","Almaco jack","Long fin Kahala","Carangidae","Jacks","OTB","OTB","Other Bottomfish",NA,NA,NA,NA,NA,NA,NA,"00000159",NA,NA,NA,NA
"21","SERI","Seriola rivoliana","Almaco jack","Almaco jack","Carangidae","Jacks","OTB","OTB","Other Bottomfish",NA,NA,NA,NA,NA,NA,NA,"00000160",NA,NA,NA,NA
"22","SESP","Seriola sp.","Amberjack sp.","Kahala","Carangidae","Jacks","OTB","OTB","Other Bottomfish",NA,NA,NA,NA,NA,NA,NA,"00000161",NA,NA,NA,NA
"23","CASP","Caranx sp.","Jack sp.","papio","Carangidae","Jacks","OTB","OTB","Other Bottomfish",NA,NA,NA,NA,NA,NA,NA,"00000162",NA,NA,2019-07-30 10:19:06,"BFISH"
"24","CASP","Caranx sp.","Jack sp.","papio family (?)","Carangidae","Jacks","OTB","OTB","Other Bottomfish",NA,NA,NA,NA,NA,NA,NA,"00000163",NA,NA,NA,NA
"25","SHAR","Carcharinid sp.","Requiem shark sp.","Reef Shark","Carcharinidae","Requiem sharks","SHK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000164",NA,NA,NA,NA
"26","SHAR","Carcharhinus sp.","Requiem shark sp.","Carcharinus sp","Carcharinidae","Requiem sharks","SHK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000165",NA,NA,NA,NA
"27","SHAR","Carcharinid sp.","Requiem shark sp.","Carcharinus sp","Carcharinidae","Requiem sharks","SHK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000166",NA,NA,NA,NA
"28","SHAR","Elasmobranch sp.","Shark sp. ","Unidentified Shark",NA,NA,"SHK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000167",NA,NA,NA,NA
"29","SHAR","Shark","Shark sp. ","Unidentified Shark",NA,NA,"SHK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000168",NA,NA,NA,NA
"30","SHAR","Shark or Teleost","Shark sp. ","Unidentified Shark",NA,NA,"SHK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000169",NA,NA,2019-07-30 10:26:04,"BFISH"
"31","SHRK","Chondrichthid sp.","Shark sp. ","Unidentified Shark",NA,NA,"SHK","OTL","Other Fish, Large (acoustic target)",NA,NA,NA,NA,NA,NA,NA,"00000170",NA,NA,NA,NA
"32","SHRK","Chondrichthid sp.","Shark sp. ","shark",NA,NA,"SHK","OTL","Other Fish, Large (acoustic target)",NA,NA,NA,NA,NA,NA,NA,"00000171",NA,NA,NA,NA
"33","SPPA","Sphoeroides pachygaster","Blunthead puffer","Blunthead puffer","Tetraodontidae","Puffers","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000172",NA,NA,NA,NA
"34","SPBA","Sphyraena barracuda","Great barracuda",NA,"Sphyraenidae","Barracudas","OTH","OTL","Other Fish, Large (acoustic target)",NA,NA,NA,NA,NA,NA,NA,"00000173",NA,NA,NA,NA
"35","SPHE","Sphyraena helleri","Heller's Barracuda","Kawelea","Sphyraenidae","Barracudas","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000174",NA,NA,NA,NA
"36","SQSP","Squalus sp.","Green eye shark","Green eye shark","Squalidae","Dogfish sharks","SHK","OTL","Other Fish, Large (acoustic target)",NA,NA,NA,NA,NA,NA,NA,"00000175",NA,NA,NA,NA
"37","SQMI","Squalus hawaiiensis","Green eye shark","Squalus mitsukurii","Squalidae","Dogfish sharks","SHK","OTL","Other Fish, Large (acoustic target)",NA,NA,NA,NA,NA,NA,"Changed from Squalus mitsukurii per Daly-Engel et al 2018","00000176",NA,NA,NA,NA
"38","SQMI","Squalus hawaiiensis","Green eye shark","Green eye shark","Squalidae","Dogfish sharks","SHK","OTL","Other Fish, Large (acoustic target)",NA,NA,NA,NA,NA,NA,"Changed from Squalus mitsukurii per Daly-Engel et al 2018","00000177",NA,NA,NA,NA
"39","SUFR","Sufflamea fraenatum","Bridled Triggerfish","Bridled Triggerfish","Balistidae","Triggerfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000178",NA,NA,NA,NA
"40","SUFR","Sufflamen fraenatum","Masked triggerfish","Humu Humu","Balistidae","Triggerfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000179",NA,NA,NA,NA
"41","SYSP","Symphysanodontid sp.","Slopefish",NA,"Symphysanodontidae","Slopefishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000180",NA,NA,NA,NA
"42","SYSP","Symphysanodon sp.","Slopefish",NA,"Symphysanodontidae","Slopefishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000181",NA,NA,NA,NA
"43","SYTY","Symphysanodon typus","Insular shelf beauty",NA,"Symphysanodontidae","Slopefishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000182",NA,NA,NA,NA
"44","THAL","Thunnus albacares","Yellowfin tuna","Shibi","Scombridae","Tunas","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000183",NA,NA,NA,NA
"45","THAL","Thunnus albacares","Yellowfin tuna","Yellowfin Tuna","Scombridae","Tunas","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000184",NA,NA,NA,NA
"46","THAL","Thunnus albacares","Ahi","Yellowfin Tuna","Scombridae","Tunas","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000185",NA,NA,NA,NA
"47","THDU","Thalassoma duperrey","Saddle wrasse",NA,"Labridae","Wrasses","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000186",NA,NA,NA,NA
"48","TOFL","Torquigener florealis","Floral puffer",NA,"Tetraodontidae","Puffers","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000187",NA,NA,NA,NA
